Name,Birthplace,SigMove,Year,Lat,Long
Ardern,Hamilton,0,2017,-37.804,175.283
English,Lumsden,0,2016,-45.740,168.445
Key,Auckland,1,2008,-36.867,174.797
Clark,Te Pahu,0,1999,-37.935,175.166
Shipley,Gore,0,1997,-46.106,168.938
Bolger,Opunake,0,1990,-39.455,173.857
Moore,Whakatane,0,1990,-37.959,176.989
Palmer,Nelson,0,1989,-41.275,173.280
Lange,Otahuhu,0,1984,-36.942,174.841
Muldoon,Auckland,0,1975,-36.886,174.738
Rowling,Motueka,0,1974,-41.117,173.010
Watt,Perth,1,1974,-31.96,115.86
Kirk,Waimate,0,1972,-44.737,171.050
Marshall,Wellington,0,1972,-41.309,174.780
Nash,Kidderminster,0,1957,52.39,-2.25
Holyoake,Mangamutu,0,1957,-40.447,175.817
Holland,Greendale,0,1949,-43.587,172.088
Fraser,Hill of Fearn,0,1940,57.78,-3.97
Savage,Tatong,1,1935,-36.71,146.10
Forbes,Lyttelton,0,1930,-43.602,172.721
Coates,Matakohe,0,1925,-36.164,174.171
Bell,Nelson,1,1925,-41.275,173.268
Massey,Limavady,1,1912,55.04,-6.93
Mackenzie,Edinburgh,1,1912,55.94,-3.17
Ward,Melbourne,0,1906,-37.83,144.96
